system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10068,37.296355,-121.917905,48.4643364,180.0,16.0,3.675,0.8946402335746864,0.24343951934005073
10069,37.256743,-121.92312,69.19603729,270.0,20.0,5.0,1.6191862910391666,0.3238372582078333
10070,38.22309,-86.86155,168.7596588,180.0,22.5,4.41,1.266815146297051,0.28725967036214306
10071,40.275042,-120.523978,1479.807739,180.0,33.5,5.355,1.9425702935245326,0.36275822474781183
10072,40.515645,-74.85319,48.90737915,180.0,24.0,6.12,1.84101519790451,0.30081947678178267
10073,20.889294,-156.50497,92.2096405,180.0,0.0,8.64,2.557669190380232,0.29602652666437873
10075,34.033564,-117.03776,818.6390991,180.0,15.0,6.375,2.2013419727962744,0.3453085447523568
10076,40.595359,-77.5774,151.9619598,180.0,40.7,7.05,1.5527384511119444,0.2202465888102049
10077,39.012404,-94.21156,246.6464996,180.0,35.0,5.76,1.9304619078628815,0.3351496367817503
10078,38.891257,-76.989082,26.1155777,225.0,15.0,6.48,1.2767332814898424,0.19702674097065467
10079,36.864488,-119.625961,133.1977692,180.0,24.0,6.0,2.0932160363886316,0.34886933939810527
10080,41.664582,-87.84378,200.9579926,180.0,0.0,12.9,3.435062250705618,0.26628389540353625
10081,39.279498,-77.651917,133.2598267,180.0,37.0,4.4,0.8442201971341754,0.1918682266214035
10082,41.618754,-70.867667,1.819200993,225.0,16.5,3.536,0.9608756947210193,0.271740863891691
10083,21.284,-157.79925,61.62408829,90.0,0.0,4.59,1.7051794327810925,0.37149878709827727
10085,32.714084,-97.455784,220.5956421,180.0,34.0,6.72,1.9472138116505768,0.28976396006705013
10086,27.091783,-82.44846,4.389044762,180.0,0.0,9.4,2.6240590425464574,0.2791552172921763
10087,21.2946,-157.69721,0.63196522,0.0,1.0,4.335,1.397178072954662,0.32230174693302466
10088,33.081421,-96.88957,176.6570892,180.0,32.5,2.5,0.7520052489319731,0.30080209957278925
