Unnamed: 0,ac_power_inv_21799_daily_max,ac_power_inv_21799_daily_mean,ac_energy_inv_21799_daily_sum
2021-07-31,8.989,4.77028813559322,70.368
2021-08-01,7.311,2.568245614035088,36.612
2021-08-02,9.679,4.395474576271186,64.839
2021-08-03,8.401,3.029237288135593,44.688
2021-08-04,4.546,2.190779661016949,32.322
2021-08-05,7.417,2.885859649122807,41.115
2021-08-06,8.455,4.359034482758621,63.219
2021-08-07,8.088000000000001,3.4060689655172416,49.389
2021-08-08,8.749,3.16542105263158,45.102
2021-08-09,8.252,2.8401578947368424,40.482
2021-08-10,5.343,2.29088679245283,30.354
2021-08-11,8.101,4.180418181818182,57.498
2021-08-12,8.006999999999998,4.332745454545455,59.583
2021-08-13,8.202,4.389607142857143,61.467
2021-08-14,8.234,3.455,50.109
2021-08-15,8.772999999999998,4.330491228070176,61.716
2021-08-16,8.697000000000001,3.411375,47.775
2021-08-17,6.261,2.7944,38.43
2021-08-18,6.789,2.268418181818182,31.194
2021-08-19,7.893,2.296446428571429,32.163
2021-08-20,4.678,1.977982142857143,27.699
2021-08-21,7.131,2.7281964285714286,38.208
2021-08-22,1.571,0.4307843137254902,5.493
2021-08-23,8.322000000000001,2.44078,30.519
2021-08-24,8.144,4.358982142857142,61.041
2021-08-25,8.172,4.425781818181818,60.858
2021-08-26,7.752,4.056690909090909,55.791
2021-08-27,8.340999999999998,3.6976727272727272,50.853
2021-08-28,6.059,2.180981132075472,28.902
2021-08-29,4.904,1.541826923076923,20.04
2021-08-30,7.05,2.731574074074074,36.879
2021-08-31,8.669,3.349425925925926,45.216
2021-09-01,1.636,0.7498478260869565,8.631
2021-09-02,8.858,4.792333333333333,64.704
2021-09-03,9.969,4.297792452830188,56.964
2021-09-04,8.348,4.592905660377359,60.858
2021-09-05,3.661,1.1129056603773584,14.754
2021-09-06,8.420999999999998,4.25351923076923,55.299
2021-09-07,8.218999999999998,4.513962264150943,59.826
2021-09-08,7.301,2.990415094339623,39.621
2021-09-09,2.474,0.80822,10.095
2021-09-10,9.619,4.536096153846153,58.977
2021-09-11,8.279,4.237622641509434,56.148
2021-09-12,7.295,3.903176470588236,49.773
2021-09-13,8.202999999999998,3.625254901960784,46.221
2021-09-14,7.320999999999999,3.7185882352941175,47.412
2021-09-15,7.308,3.416921568627451,43.572
2021-09-16,7.937,2.37436,29.694
2021-09-17,2.488,1.13054,14.136
2021-09-18,8.56,3.746235294117647,47.772
2021-09-19,8.173,4.392196078431373,56.004
2021-09-20,8.615999999999998,3.55114,44.394
2021-09-21,8.186,3.67744,45.975
2021-09-22,6.695,2.5313673469387754,31.023
2021-09-23,4.188,1.395729166666667,16.764
2021-09-24,8.021,4.391673469387755,53.799
2021-09-25,7.846,4.11676,51.474
2021-09-26,8.547,4.30834,53.859
2021-09-27,7.498999999999999,3.7018,46.281
2021-09-28,5.2860000000000005,1.5519795918367347,19.029
2021-09-29,7.945,4.0,48.0
2021-09-30,9.005,3.4958979591836736,42.828
2021-10-01,7.867,4.2074375,50.496
2021-10-02,7.684,3.8466875,46.161
2021-10-03,7.801,3.0279583333333333,36.345
2021-10-04,1.603,0.5350227272727271,5.892
2021-10-05,3.264,1.3215555555555556,14.868
2021-10-06,5.8950000000000005,1.9295434782608691,22.197
2021-10-07,7.981,3.549375,42.6
2021-10-08,7.365999999999999,2.4951063829787232,29.331
2021-10-09,5.203,1.5714893617021275,18.465
2021-10-10,2.371,0.8542954545454545,9.405
2021-10-11,8.089,3.0167234042553197,35.448
2021-10-12,7.751,2.8736382978723403,33.771
